mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-241.6947,1,0,0,0,0,0,2.059779e-07 days
1,-241.6947,0.5,0,0.5,0,0,0,4.34955e-07 days
2,-235.0237,0.6666667,0,0.3333333,0,0,0,6.58854e-07 days
3,-232.8057,0.75,0,0.25,0,0,0,8.861482e-07 days
4,-231.8861,0.8,0,0.2,0,0,0,1.116363e-06 days
5,-231.8861,0.6666667,0,0.3333333,0,0,0,1.342423e-06 days
6,-231.8861,0.5714286,0,0.4285714,0,0,0,1.566907e-06 days
7,-228.4487,0.625,0,0.375,0,0,0,1.787574e-06 days
8,-228.4487,0.5555556,0,0.4444444,0,0,0,2.013917e-06 days
9,-225.7607,0.6,0,0.4,0,0,0,2.245405e-06 days
10,-222.0809,0.6363636,0,0.3636364,0,0,0,2.511924e-06 days
11,-222.0809,0.5833333,0,0.4166667,0,0,0,2.766859e-06 days
12,-222.0809,0.5384615,0,0.4615385,0,0,0,2.996111e-06 days
13,-211.1144,0.5714286,0,0.4285714,0,0,0,3.220276e-06 days
14,-211.1144,0.5333333,0,0.4666667,0,0,0,3.452549e-06 days
15,-211.1144,0.5,0,0.5,0,0,0,3.682276e-06 days
16,-210.2864,0.5294118,0,0.4705882,0,0,0,3.921869e-06 days
17,-207.1414,0.5555556,0,0.4444444,0,0,0,4.153021e-06 days
18,-202.9649,0.5789474,0,0.4210526,0,0,0,4.383399e-06 days
19,-202.9649,0.55,0,0.45,0,0,0,4.6157e-06 days
20,-202.9649,0.5238095,0,0.4761905,0,0,0,4.84336e-06 days
21,-202.9649,0.5,0,0.5,0,0,0,5.087431e-06 days
22,-198.77,0.5217391,0,0.4782609,0,0,0,5.325105e-06 days
23,-199.3256,0.5416667,0.04166667,0.4583333,0,0,0,5.54539e-06 days
24,-199.3256,0.52,0.04,0.48,0,0,0,5.768737e-06 days
25,-195.5219,0.5384615,0.03846154,0.4615385,0,0,0,6.019695e-06 days
26,-196.0609,0.5555556,0.07407407,0.4444444,0,0,0,6.235366e-06 days
27,-196.0609,0.5357143,0.07142857,0.4642857,0,0,0,6.480002e-06 days
28,-196.0609,0.5172414,0.06896552,0.4827586,0,0,0,6.71053e-06 days
29,-189.6967,0.5333333,0.06666667,0.4666667,0,0,0,6.939872e-06 days
30,-189.6967,0.516129,0.06451613,0.483871,0,0,0,7.23409e-06 days
31,-184.5903,0.53125,0.0625,0.46875,0,0,0,7.487215e-06 days
32,-184.5903,0.5151515,0.06060606,0.4848485,0,0,0,7.728445e-06 days
33,-184.5903,0.5,0.05882353,0.5,0,0,0,7.979437e-06 days
34,-183.0785,0.5142857,0.05714286,0.4857143,0,0,0,8.216107e-06 days
35,-182.0057,0.5277778,0.05555556,0.4722222,0,0,0,8.484096e-06 days
36,-182.0057,0.5135135,0.05405405,0.4864865,0,0,0,8.723157e-06 days
37,-182.0057,0.5,0.05263158,0.5,0,0,0,8.947286e-06 days
38,-180.7155,0.5128205,0.05128205,0.4871795,0,0,0,9.177003e-06 days
39,-180.7155,0.5,0.05,0.5,0,0,0,9.400348e-06 days
40,-181.0906,0.5121951,0.07317073,0.4878049,0,0,0,9.626479e-06 days
41,-178.6977,0.5238095,0.07142857,0.4761905,0,0,0,9.851443e-06 days
42,-178.3595,0.5348837,0.06976744,0.4651163,0,0,0,1.009235e-05 days
43,-174.7976,0.5454545,0.06818182,0.4545455,0,0,0,1.03249e-05 days
44,-172.4812,0.5555556,0.06666667,0.4444444,0,0,0,1.055845e-05 days
