2100	0.9737 0.2732 -0.3833 -1.986 -0.06778	0.03888 0.9522 -0.9468 -0.4254 -1.196	-1.79 -0.259 0.8825 0.1278 0.2088	-0.3308 -1.491 -0.5037 1.027 0.4778	2.023 1.841 2.332 2.177 -3.831
2200	1.016 0.2685 -0.3645 -2.168 -0.05772	0.05468 0.9944 -0.9292 -0.5539 -1.118	-1.694 -0.2001 0.9291 0.2105 0.1071	-0.3954 -1.397 -0.5006 1.008 0.3668	2.062 1.869 2.275 2.111 -3.899
2300	0.9871 0.1992 -0.3389 -2.148 -0.03013	0.006433 0.9964 -0.9376 -0.5744 -1.129	-1.769 -0.1528 0.8989 0.1286 0.09652	-0.4674 -1.444 -0.4753 1.033 0.4405	2.05 1.819 2.183 2.095 -3.87
2400	1.063 0.1494 -0.3805 -2.033 0.09517	0.0983 1.008 -0.9182 -0.4968 -1.161	-1.797 -0.09175 0.9402 0.06651 0.1132	-0.5329 -1.273 -0.2859 1.043 0.6614	2.071 2.181 2.337 2.129 -3.948
2500	1.055 0.1233 -0.4064 -2.074 0.07356	0.1473 0.9338 -0.9329 -0.5126 -1.264	-1.825 -0.1311 0.9223 0.06965 0.1308	-0.5886 -1.248 -0.3057 1.046 0.716	2.192 2.186 2.396 2.169 -4
2600	1.003 0.1254 -0.4033 -2.063 0.08635	0.1145 0.9463 -0.9604 -0.495 -1.242	-1.825 -0.1646 0.9982 0.04996 0.1696	-0.5882 -1.232 -0.3073 1.033 0.7067	2.184 2.203 2.405 2.187 -3.996
2700	1.057 0.1534 -0.4883 -2.255 0.1982	0.1747 0.9408 -1.121 -0.5282 -1.356	-1.993 -0.2861 1.121 -0.1282 0.1003	-0.4952 -1.207 -0.3328 0.958 0.8281	2.168 2.179 2.435 2.093 -4.188
2800	1.106 0.04993 -0.5239 -2.361 0.09004	0.218 0.9573 -1.026 -0.5031 -1.302	-1.857 -0.2611 0.9976 -0.137 0.1226	-0.5945 -1.297 -0.327 0.9957 0.7632	2.132 2.169 2.512 2.269 -4.338
2900	1.15 -0.0003351 -0.3355 -2.324 0.2001	0.1058 0.9547 -1.014 -0.4499 -1.343	-1.8 -0.1538 1.034 -0.3044 0.1807	-0.5873 -1.276 -0.3057 1.093 0.8037	2.269 2.154 2.531 2.382 -4.391
3000	1.121 0.02167 -0.3414 -2.352 0.1907	0.02901 1.006 -1.083 -0.4193 -1.392	-1.82 -0.1215 1.041 -0.2074 0.1308	-0.5318 -1.273 -0.2386 1.023 0.769	2.301 2.132 2.57 2.319 -4.384
3100	1.121 0.02167 -0.3414 -2.352 0.1907	0.02901 1.006 -1.083 -0.4193 -1.392	-1.82 -0.1215 1.041 -0.2074 0.1308	-0.5318 -1.273 -0.2386 1.023 0.769	2.301 2.132 2.57 2.319 -4.384
3200	1.179 0.05517 -0.3196 -2.474 0.1352	0.08268 1.071 -1.133 -0.4913 -1.26	-1.917 -0.1232 1.066 -0.03704 0.1351	-0.3815 -1.405 -0.3453 1.119 0.7423	2.507 2.176 2.733 2.27 -4.457
3300	1.093 0.05975 -0.2819 -2.499 0.06885	0.1707 1.075 -1.053 -0.4906 -1.232	-1.921 -0.06779 1.03 -0.007549 0.1424	-0.3989 -1.367 -0.4244 1.114 0.741	2.549 2.163 2.798 2.226 -4.487
3400	1.082 0.1142 -0.2803 -2.365 0.1185	0.2093 1.094 -1.109 -0.4815 -1.23	-2.023 -0.05857 1.05 -0.01676 0.1453	-0.4436 -1.345 -0.3364 1.119 0.7755	2.493 2.222 2.791 2.243 -4.477
3500	1.067 0.139 -0.2685 -2.277 0.2395	0.2028 1.023 -1.052 -0.5699 -1.149	-2.043 -0.05191 1.102 -0.1162 0.07714	-0.4588 -1.441 -0.3153 1.132 0.661	2.478 2.18 2.803 2.19 -4.504
