from to weight
0 1 102802
0 2 96788
0 4 100173
0 8 111093
0 16 144
1 3 51771
1 5 743
1 9 49608
1 17 680
2 3 46018
2 6 49130
2 10 1250
2 18 390
3 7 10725
3 11 16204
3 19 70860
4 5 49617
4 6 8040
4 12 40280
4 20 2236
5 7 6074
5 13 25599
5 21 18687
6 7 43218
6 14 793
6 22 13159
7 15 260
7 23 59757
8 9 2552
8 10 57046
8 12 50540
8 24 955
9 11 43520
9 13 499
9 25 8141
10 11 2410
10 14 49668
10 26 6218
11 15 507
11 27 61627
12 13 4322
12 14 16696
12 28 69802
13 15 624
13 29 29796
14 15 575
14 30 66582
15 31 1966
16 17 60
16 18 8
16 20 37
16 24 39
17 19 100
17 21 14
17 25 626
18 19 192
18 22 203
18 26 3
19 23 30612
19 27 40540
20 21 1213
20 22 36
20 28 1024
21 23 735
21 29 19179
22 23 13102
22 30 296
23 31 104206
24 25 43
24 26 105
24 28 846
25 27 8063
25 29 747
26 27 377
26 30 5949
27 31 110607
28 29 44408
28 30 27264
29 31 94130
30 31 100091
