mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
80,-547.8546,0.5925926,0.04938272,0.4074074,0,0,0,1.3078e-05 days
81,-547.8546,0.5853659,0.04878049,0.4146341,0,0,0,1.323043e-05 days
82,-543.2838,0.5903614,0.04819277,0.4096386,0,0,0,1.338752e-05 days
83,-543.2838,0.5833333,0.04761905,0.4166667,0,0,0,1.354273e-05 days
84,-537.2253,0.5882353,0.04705882,0.4117647,0,0,0,1.370267e-05 days
85,-537.2253,0.5813953,0.04651163,0.4186047,0,0,0,1.385885e-05 days
86,-537.2253,0.5747126,0.04597701,0.4252874,0,0,0,1.401289e-05 days
87,-537.2253,0.5681818,0.04545455,0.4318182,0,0,0,1.417134e-05 days
88,-537.2253,0.5617978,0.04494382,0.4382022,0,0,0,1.433164e-05 days
89,-537.2253,0.5555556,0.04444444,0.4444444,0,0,0,1.448672e-05 days
90,-535.67,0.5604396,0.04395604,0.4395604,0,0,0,1.464074e-05 days
91,-528.1199,0.5652174,0.04347826,0.4347826,0,0,0,1.479924e-05 days
92,-528.1199,0.5591398,0.04301075,0.4408602,0,0,0,1.495825e-05 days
93,-528.1199,0.5531915,0.04255319,0.4468085,0,0,0,1.511166e-05 days
94,-524.8228,0.5578947,0.04210526,0.4421053,0,0,0,1.526961e-05 days
95,-524.8228,0.5520833,0.04166667,0.4479167,0,0,0,1.54287e-05 days
96,-524.8228,0.5463918,0.04123711,0.4536082,0,0,0,1.558313e-05 days
97,-523.757,0.5510204,0.04081633,0.4489796,0,0,0,1.573892e-05 days
98,-523.757,0.5454545,0.04040404,0.4545455,0,0,0,1.589328e-05 days
99,-519.1087,0.55,0.04,0.45,0,0,0,1.604844e-05 days
100,-516.7386,0.5544554,0.03960396,0.4455446,0,0,0,1.62084e-05 days
101,-516.7386,0.5490196,0.03921569,0.4509804,0,0,0,1.636178e-05 days
102,-516.7386,0.5436893,0.03883495,0.4563107,0,0,0,1.651772e-05 days
103,-514.014,0.5480769,0.03846154,0.4519231,0,0,0,1.667273e-05 days
104,-514.014,0.5428571,0.03809524,0.4571429,0,0,0,1.683442e-05 days
105,-505.3346,0.5471698,0.03773585,0.4528302,0,0,0,1.699456e-05 days
106,-505.4571,0.5514019,0.04672897,0.4485981,0,0,0,1.714755e-05 days
107,-505.4571,0.5462963,0.0462963,0.4537037,0,0,0,1.730691e-05 days
108,-505.4571,0.5412844,0.04587156,0.4587156,0,0,0,1.747314e-05 days
109,-505.4571,0.5363636,0.04545455,0.4636364,0,0,0,1.765219e-05 days
110,-505.4571,0.5315315,0.04504505,0.4684685,0,0,0,1.78102e-05 days
111,-505.4571,0.5267857,0.04464286,0.4732143,0,0,0,1.796608e-05 days
112,-505.4571,0.5221239,0.04424779,0.4778761,0,0,0,1.812699e-05 days
