from to weight
0 1 55704
0 2 54860
0 4 55314
0 8 122
1 3 5587
1 5 50084
1 9 33
2 3 50793
2 6 4049
2 10 18
3 7 56293
3 11 87
4 5 4697
4 6 50597
4 12 20
5 7 54726
5 13 55
6 7 54557
6 14 89
7 15 165576
8 9 43
8 10 27
8 12 52
9 11 10
9 13 66
10 11 28
10 14 17
11 15 125
12 13 34
12 14 38
13 15 155
14 15 144
