mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
84,-70.21041,0.9647059,0.4823529,0.03529412,0,0,0,1.362703e-05 days
85,-70.21041,0.9534884,0.4767442,0.04651163,0,0,0,1.378455e-05 days
86,-70.05612,0.954023,0.4712644,0.04597701,0,0,0,1.393485e-05 days
87,-70.05612,0.9431818,0.4659091,0.05681818,0,0,0,1.408342e-05 days
88,-70.05401,0.9438202,0.4606742,0.05617978,0,0,0,1.423717e-05 days
89,-70.04721,0.9444444,0.4555556,0.05555556,0,0,0,1.440375e-05 days
90,-69.93121,0.9450549,0.4505495,0.05494505,0,0,0,1.456355e-05 days
91,-70.71445,0.9456522,0.4565217,0.05434783,0,0,0,1.471014e-05 days
92,-70.69394,0.9462366,0.4516129,0.05376344,0,0,0,1.485716e-05 days
93,-71.01433,0.9468085,0.4574468,0.05319149,0,0,0,1.500686e-05 days
94,-71.04599,0.9473684,0.4631579,0.05263158,0,0,0,1.515696e-05 days
95,-71.23956,0.9479167,0.46875,0.05208333,0,0,0,1.530598e-05 days
96,-71.28014,0.9484536,0.4742268,0.05154639,0,0,0,1.546738e-05 days
97,-71.2832,0.9489796,0.4795918,0.05102041,0,0,0,1.561981e-05 days
98,-70.6389,0.9494949,0.4747475,0.05050505,0,0,0,1.576728e-05 days
99,-70.28005,0.95,0.47,0.05,0,0,0,1.592301e-05 days
100,-70.3408,0.950495,0.4752475,0.04950495,0,0,0,1.607827e-05 days
101,-70.60832,0.9509804,0.4803922,0.04901961,0,0,0,1.623158e-05 days
102,-70.20089,0.9514563,0.4757282,0.04854369,0,0,0,1.637791e-05 days
103,-69.86525,0.9519231,0.4711538,0.04807692,0,0,0,1.652223e-05 days
104,-69.80313,0.952381,0.4666667,0.04761905,0,0,0,1.66709e-05 days
105,-69.92472,0.9528302,0.4716981,0.04716981,0,0,0,1.682481e-05 days
106,-69.99725,0.953271,0.4766355,0.04672897,0,0,0,1.6984e-05 days
107,-69.75668,0.9537037,0.4722222,0.0462963,0,0,0,1.713202e-05 days
108,-69.63703,0.9541284,0.4678899,0.04587156,0,0,0,1.728097e-05 days
109,-69.6368,0.9545455,0.4636364,0.04545455,0,0,0,1.743251e-05 days
110,-69.41486,0.954955,0.4594595,0.04504505,0,0,0,1.758042e-05 days
111,-69.40698,0.9553571,0.4553571,0.04464286,0,0,0,1.772766e-05 days
112,-69.40698,0.9469027,0.4513274,0.05309735,0,0,0,1.790058e-05 days
113,-69.49982,0.9473684,0.4561404,0.05263158,0,0,0,1.807447e-05 days
114,-69.51546,0.9478261,0.4608696,0.05217391,0,0,0,1.82285e-05 days
115,-69.44726,0.9482759,0.4568966,0.05172414,0,0,0,1.837797e-05 days
116,-69.47078,0.9487179,0.4615385,0.05128205,0,0,0,1.85446e-05 days
117,-69.62952,0.9491525,0.4661017,0.05084746,0,0,0,1.870596e-05 days
118,-69.72202,0.9495798,0.4705882,0.05042017,0,0,0,1.885447e-05 days
119,-69.72202,0.9416667,0.4666667,0.05833333,0,0,0,1.901676e-05 days
120,-69.62888,0.9421488,0.4628099,0.05785124,0,0,0,1.918393e-05 days
121,-69.60172,0.942623,0.4590164,0.05737705,0,0,0,1.933067e-05 days
122,-69.66318,0.9430894,0.4634146,0.05691057,0,0,0,1.947639e-05 days
123,-69.56642,0.9435484,0.4596774,0.05645161,0,0,0,1.96384e-05 days
124,-69.53488,0.944,0.456,0.056,0,0,0,1.9794e-05 days
125,-69.96048,0.9444444,0.4603175,0.05555556,0,0,0,1.994758e-05 days
126,-69.7237,0.9448819,0.4566929,0.05511811,0,0,0,2.00957e-05 days
127,-69.88717,0.9453125,0.4609375,0.0546875,0,0,0,2.024781e-05 days
128,-70.04542,0.9457364,0.4651163,0.05426357,0,0,0,2.040723e-05 days
129,-69.82588,0.9461538,0.4615385,0.05384615,0,0,0,2.056605e-05 days
130,-69.62006,0.9465649,0.4580153,0.05343511,0,0,0,2.072385e-05 days
