3500	1.006 -3.135 -0.4357 -0.5189	1.869 0.9293 -0.6431 1.347	0.01602 1.042 1.113 0.4681	-1.213 2.097 1.941 -3.765
3600	1.008 -3.273 -0.4846 -0.5521	1.859 0.8233 -0.5305 1.268	-0.09137 1.063 1.179 0.5623	-1.251 2.176 2.021 -3.826
3700	1.008 -3.273 -0.4846 -0.5521	1.859 0.8233 -0.5305 1.268	-0.09137 1.063 1.179 0.5623	-1.251 2.176 2.021 -3.826
3800	1.017 -3.271 -0.4658 -0.5367	1.834 0.7874 -0.4858 1.273	-0.1178 1.038 1.213 0.5755	-1.254 2.196 1.994 -3.823
3900	1.017 -3.271 -0.4658 -0.5367	1.834 0.7874 -0.4858 1.273	-0.1178 1.038 1.213 0.5755	-1.254 2.196 1.994 -3.823
4000	1.017 -3.271 -0.4658 -0.5367	1.834 0.7874 -0.4858 1.273	-0.1178 1.038 1.213 0.5755	-1.254 2.196 1.994 -3.823
4100	0.9861 -3.323 -0.4669 -0.48	1.931 0.7113 -0.5252 1.26	-0.126 1.043 1.245 0.4991	-1.234 2.181 1.975 -3.904
4200	0.9978 -3.406 -0.3656 -0.5286	2.002 0.8294 -0.392 1.274	-0.1341 1.135 1.242 0.5094	-1.322 2.319 2.075 -3.902
4300	0.9299 -3.417 -0.2825 -0.6603	2.049 0.7548 -0.4589 1.069	-0.1388 1.295 1.188 0.5442	-1.204 2.446 1.997 -3.968
4400	1.086 -3.518 -0.3331 -0.8178	2.047 0.8214 -0.4351 0.9706	-0.186 1.319 1.125 0.5507	-1.248 2.496 1.936 -4.034
4500	1.127 -3.715 -0.2762 -0.9452	2.138 0.8777 -0.3534 0.9885	-0.05971 1.319 1.15 0.7841	-1.322 2.478 1.787 -3.947
4600	1.019 -3.739 -0.331 -0.9784	2.082 0.8633 -0.4202 0.9877	0.06758 1.41 1.093 0.7753	-1.268 2.506 1.838 -3.869
4700	0.9475 -3.684 -0.365 -0.9819	2.202 0.866 -0.534 0.9055	0.2375 1.25 0.9993 0.7919	-1.105 2.559 1.698 -3.859
4800	0.9705 -3.629 -0.4189 -1.006	2.231 0.8092 -0.5627 0.7675	0.2307 1.157 1.089 0.8404	-0.885 2.632 1.809 -3.789
4900	1.112 -3.58 -0.5304 -1.032	2.269 0.8582 -0.6529 0.734	0.2446 1.151 1.108 0.879	-0.8361 2.598 1.663 -3.787
5000	1.132 -3.493 -0.6134 -1.031	2.178 0.8147 -0.4982 0.6169	0.1575 1.049 1.137 0.8565	-0.9913 2.719 1.639 -3.842
5100	1.126 -3.535 -0.5636 -1.181	2.35 0.9031 -0.3858 0.6453	0.06459 1.005 1.305 0.9292	-1.008 2.917 1.8 -4.005
5200	1.142 -3.494 -0.5653 -1.176	2.323 0.9376 -0.3657 0.6321	0.1841 0.98 1.274 0.844	-1.017 2.877 1.828 -3.965
5300	1.146 -3.491 -0.5265 -1.098	2.352 0.8418 -0.3195 0.5972	0.1585 0.9162 1.244 0.9734	-1.078 2.825 1.842 -4.012
5400	1.149 -3.449 -0.4748 -1.059	2.444 0.8225 -0.4407 0.6146	0.1358 1.001 1.243 0.9696	-1.074 2.815 1.842 -4.042
5500	1.118 -3.44 -0.4522 -0.9818	2.452 0.8383 -0.4288 0.6893	0.1397 1.004 1.321 0.9442	-1.06 2.772 1.807 -4.047
5600	1.113 -3.519 -0.4035 -1.005	2.524 0.9464 -0.4354 0.6039	0.09285 1.017 1.285 0.9316	-1.155 2.789 1.795 -4.064
5700	1.105 -3.551 -0.2965 -1.069	2.552 0.923 -0.3632 0.554	0.1719 0.9433 1.305 0.8663	-1.281 2.706 1.786 -4.131
5800	1.06 -3.516 -0.1651 -0.9798	2.636 0.9491 -0.4551 0.4301	0.204 0.9911 1.377 0.9912	-1.449 2.888 1.939 -4.131
5900	1.014 -3.626 -0.09127 -0.8429	2.664 0.9675 -0.3943 0.5169	0.2268 0.8916 1.253 0.9374	-1.372 2.996 1.989 -4.154
6000	1.057 -3.602 -0.2139 -0.8267	2.618 0.9812 -0.4589 0.5717	0.1954 0.9066 1.31 0.9873	-1.415 2.951 2 -4.123
