mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
77,-284.5898,0.5641026,0.06410256,0.4358974,0,0,0,1.250146e-05 days
78,-283.0467,0.5696203,0.06329114,0.4303797,0,0,0,1.266145e-05 days
79,-283.0467,0.5625,0.0625,0.4375,0,0,0,1.282852e-05 days
80,-283.0467,0.5555556,0.0617284,0.4444444,0,0,0,1.298801e-05 days
81,-283.0467,0.5487805,0.06097561,0.4512195,0,0,0,1.314235e-05 days
82,-282.5637,0.5542169,0.06024096,0.4457831,0,0,0,1.330512e-05 days
83,-282.5637,0.547619,0.05952381,0.452381,0,0,0,1.346051e-05 days
84,-281.5432,0.5529412,0.05882353,0.4470588,0,0,0,1.361555e-05 days
85,-281.3401,0.5581395,0.05813953,0.4418605,0,0,0,1.376969e-05 days
86,-281.3401,0.5517241,0.05747126,0.4482759,0,0,0,1.393042e-05 days
87,-281.3401,0.5454545,0.05681818,0.4545455,0,0,0,1.408502e-05 days
88,-281.3401,0.5393258,0.05617978,0.4606742,0,0,0,1.423935e-05 days
89,-281.3401,0.5333333,0.05555556,0.4666667,0,0,0,1.440336e-05 days
90,-280.0757,0.5384615,0.05494505,0.4615385,0,0,0,1.455941e-05 days
91,-275.7326,0.5434783,0.05434783,0.4565217,0,0,0,1.472388e-05 days
92,-275.7326,0.5376344,0.05376344,0.4623656,0,0,0,1.487761e-05 days
93,-275.7326,0.5319149,0.05319149,0.4680851,0,0,0,1.503947e-05 days
94,-270.9423,0.5368421,0.05263158,0.4631579,0,0,0,1.52016e-05 days
95,-270.9423,0.53125,0.05208333,0.46875,0,0,0,1.536158e-05 days
96,-270.9423,0.5257732,0.05154639,0.4742268,0,0,0,1.551602e-05 days
97,-271.0178,0.5306122,0.06122449,0.4693878,0,0,0,1.567251e-05 days
98,-271.0178,0.5252525,0.06060606,0.4747475,0,0,0,1.583033e-05 days
99,-265.4419,0.53,0.06,0.47,0,0,0,1.598729e-05 days
100,-263.21,0.5346535,0.05940594,0.4653465,0,0,0,1.614863e-05 days
101,-263.21,0.5294118,0.05882353,0.4705882,0,0,0,1.63092e-05 days
102,-263.21,0.5242718,0.05825243,0.4757282,0,0,0,1.646696e-05 days
103,-260.9711,0.5288462,0.05769231,0.4711538,0,0,0,1.662135e-05 days
104,-260.3341,0.5333333,0.05714286,0.4666667,0,0,0,1.677639e-05 days
105,-257.4454,0.5377358,0.05660377,0.4622642,0,0,0,1.693319e-05 days
106,-257.4454,0.5327103,0.05607477,0.4672897,0,0,0,1.709098e-05 days
107,-257.4454,0.5277778,0.05555556,0.4722222,0,0,0,1.724867e-05 days
108,-257.4454,0.5229358,0.05504587,0.4770642,0,0,0,1.740948e-05 days
109,-257.4454,0.5181818,0.05454545,0.4818182,0,0,0,1.757113e-05 days
110,-257.4454,0.5135135,0.05405405,0.4864865,0,0,0,1.773102e-05 days
111,-257.4454,0.5089286,0.05357143,0.4910714,0,0,0,1.789412e-05 days
112,-257.4454,0.5044248,0.05309735,0.4955752,0,0,0,1.805541e-05 days
113,-256.2278,0.5087719,0.05263158,0.4912281,0,0,0,1.821805e-05 days
114,-251.9289,0.5130435,0.05217391,0.4869565,0,0,0,1.839475e-05 days
115,-247.2534,0.5172414,0.05172414,0.4827586,0,0,0,1.855143e-05 days
116,-236.3199,0.5213675,0.05128205,0.4786325,0,0,0,1.871508e-05 days
117,-233.2669,0.5254237,0.05084746,0.4745763,0,0,0,1.887079e-05 days
118,-233.2669,0.5210084,0.05042017,0.4789916,0,0,0,1.902873e-05 days
119,-233.2669,0.5166667,0.05,0.4833333,0,0,0,1.918442e-05 days
120,-233.2669,0.5123967,0.04958678,0.4876033,0,0,0,1.934812e-05 days
121,-233.2669,0.5081967,0.04918033,0.4918033,0,0,0,1.951568e-05 days
122,-232.0042,0.5121951,0.04878049,0.4878049,0,0,0,1.967236e-05 days
123,-228.8464,0.516129,0.0483871,0.483871,0,0,0,1.983772e-05 days
124,-229.5816,0.52,0.056,0.48,0,0,0,1.999774e-05 days
125,-229.5816,0.515873,0.05555556,0.484127,0,0,0,2.015303e-05 days
126,-226.4468,0.519685,0.05511811,0.480315,0,0,0,2.03129e-05 days
127,-226.4468,0.515625,0.0546875,0.484375,0,0,0,2.046796e-05 days
128,-226.4468,0.5116279,0.05426357,0.4883721,0,0,0,2.06292e-05 days
129,-225.5617,0.5153846,0.05384615,0.4846154,0,0,0,2.079148e-05 days
130,-221.9257,0.519084,0.05343511,0.480916,0,0,0,2.094557e-05 days
131,-221.9257,0.5151515,0.0530303,0.4848485,0,0,0,2.111279e-05 days
132,-221.9257,0.5112782,0.05263158,0.4887218,0,0,0,2.126675e-05 days
133,-221.0929,0.5149254,0.05223881,0.4850746,0,0,0,2.142745e-05 days
134,-218.6617,0.5185185,0.05185185,0.4814815,0,0,0,2.158141e-05 days
135,-218.6617,0.5147059,0.05147059,0.4852941,0,0,0,2.174056e-05 days
136,-218.6617,0.5109489,0.05109489,0.4890511,0,0,0,2.189995e-05 days
137,-218.1654,0.5144928,0.05072464,0.4855072,0,0,0,2.206104e-05 days
138,-218.1654,0.5107914,0.05035971,0.4892086,0,0,0,2.221921e-05 days
139,-216.3325,0.5142857,0.05,0.4857143,0,0,0,2.238361e-05 days
140,-214.4671,0.5177305,0.04964539,0.4822695,0,0,0,2.254014e-05 days
141,-214.4671,0.5140845,0.04929577,0.4859155,0,0,0,2.269973e-05 days
142,-213.6046,0.5174825,0.04895105,0.4825175,0,0,0,2.285503e-05 days
143,-211.6321,0.5208333,0.04861111,0.4791667,0,0,0,2.301751e-05 days
144,-209.6024,0.5241379,0.04827586,0.4758621,0,0,0,2.317296e-05 days
145,-206.2152,0.5273973,0.04794521,0.4726027,0,0,0,2.333501e-05 days
146,-198.8718,0.5306122,0.04761905,0.4693878,0,0,0,2.349279e-05 days
147,-199.6159,0.5337838,0.05405405,0.4662162,0,0,0,2.365278e-05 days
148,-195.1094,0.5369128,0.05369128,0.4630872,0,0,0,2.381578e-05 days
149,-195.1094,0.5333333,0.05333333,0.4666667,0,0,0,2.39767e-05 days
150,-192.077,0.5364238,0.05298013,0.4635762,0,0,0,2.414091e-05 days
151,-189.5872,0.5394737,0.05263158,0.4605263,0,0,0,2.430264e-05 days
152,-189.0669,0.5424837,0.05228758,0.4575163,0,0,0,2.446227e-05 days
153,-188.0026,0.5454545,0.05194805,0.4545455,0,0,0,2.461989e-05 days
154,-188.3917,0.5483871,0.05806452,0.4516129,0,0,0,2.478672e-05 days
155,-188.3917,0.5448718,0.05769231,0.4551282,0,0,0,2.495471e-05 days
156,-188.3917,0.5414013,0.05732484,0.4585987,0,0,0,2.511684e-05 days
157,-188.3917,0.5379747,0.05696203,0.4620253,0,0,0,2.527544e-05 days
158,-185.2525,0.5408805,0.05660377,0.4591195,0,0,0,2.544364e-05 days
159,-184.7478,0.54375,0.05625,0.45625,0,0,0,2.560892e-05 days
160,-184.0909,0.5465839,0.05590062,0.4534161,0,0,0,2.576525e-05 days
161,-184.0909,0.5432099,0.05555556,0.4567901,0,0,0,2.592086e-05 days
162,-181.8076,0.5460123,0.05521472,0.4539877,0,0,0,2.607733e-05 days
163,-181.8076,0.5426829,0.05487805,0.4573171,0,0,0,2.623557e-05 days
164,-182.203,0.5454545,0.06060606,0.4545455,0,0,0,2.638994e-05 days
165,-179.4906,0.5481928,0.06024096,0.4518072,0,0,0,2.655319e-05 days
166,-179.4906,0.5449102,0.05988024,0.4550898,0,0,0,2.670993e-05 days
167,-178.3767,0.547619,0.05952381,0.452381,0,0,0,2.68671e-05 days
168,-171.4209,0.5502959,0.0591716,0.4497041,0,0,0,2.702447e-05 days
169,-168.3648,0.5529412,0.05882353,0.4470588,0,0,0,2.718941e-05 days
170,-166.7562,0.5555556,0.05847953,0.4444444,0,0,0,2.734327e-05 days
171,-161.4972,0.5581395,0.05813953,0.4418605,0,0,0,2.749986e-05 days
172,-159.7602,0.5606936,0.05780347,0.4393064,0,0,0,2.765611e-05 days
173,-158.0296,0.5632184,0.05747126,0.4367816,0,0,0,2.781775e-05 days
174,-158.0296,0.56,0.05714286,0.44,0,0,0,2.79811e-05 days
175,-158.0296,0.5568182,0.05681818,0.4431818,0,0,0,2.814725e-05 days
