,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,67907,0.1579232558139535,0.3018088888888889
1,WT,B,67602,0.15721395348837208,0.30045333333333335
2,WT,C,89078,0.2071581395348837,0.3959022222222222
3,WT,D,413,0.0009604651162790698,0.0018355555555555556
4,A,AB,22382,0.05205116279069767,0.5904450365367874
5,A,AC,15519,0.0360906976744186,0.40939668135172924
6,A,AD,6,1.3953488372093024e-05,0.00015828211148336717
7,B,AB,28925,0.06726744186046511,0.7692409978192649
8,B,BC,8676,0.02017674418604651,0.23073240785064625
9,B,BD,1,2.325581395348837e-06,2.659433008882506e-05
10,AB,ABC,3881,0.009025581395348837,0.12396588622352829
11,AB,ABD,27426,0.06378139534883721,0.8760341137764717
12,C,AC,11701,0.027211627906976746,0.19806019161109042
13,C,BC,18876,0.04389767441860465,0.3195098006025932
14,C,CD,28501,0.06628139534883722,0.4824300077863164
15,AC,ABC,7066,0.016432558139534884,0.9786703601108033
16,AC,ACD,154,0.0003581395348837209,0.021329639889196676
17,BC,ABC,7420,0.017255813953488373,0.982521186440678
18,BC,BCD,132,0.00030697674418604654,0.017478813559322032
19,ABC,ABCD,8367,0.01945813953488372,1.0
20,D,AD,110,0.0002558139534883721,0.26634382566585957
21,D,BD,12,2.7906976744186048e-05,0.029055690072639227
22,D,CD,291,0.0006767441860465116,0.7046004842615012
23,AD,ABD,111,0.0002581395348837209,0.9568965517241379
24,AD,ACD,5,1.1627906976744185e-05,0.04310344827586207
25,BD,ABD,13,3.0232558139534883e-05,1.0
26,ABD,ABCD,7550,0.01755813953488372,1.0
27,CD,ACD,1490,0.0034651162790697676,0.3929324894514768
28,CD,BCD,2302,0.005353488372093023,0.6070675105485233
29,ACD,ABCD,1649,0.0038348837209302325,1.0
30,BCD,ABCD,2434,0.00566046511627907,1.0
