from to weight
0 1 67798
0 2 67456
0 4 89331
0 8 415
1 3 22606
1 5 15184
1 9 8
2 3 28830
2 6 8624
2 10 2
3 7 3942
3 11 27494
4 5 12070
4 6 18800
4 12 28461
5 7 7050
5 13 204
6 7 7201
6 14 223
7 15 8193
8 9 124
8 10 3
8 12 288
9 11 122
9 13 10
10 11 5
11 15 7621
12 13 2447
12 14 1302
13 15 2661
14 15 1525
