from to weight
0 1 68805
0 2 67998
0 4 88438
0 8 759
1 3 17934
1 5 50862
1 9 9
2 3 67995
2 10 3
3 7 832
3 11 85097
4 5 2381
4 6 43363
4 12 42694
5 7 51692
5 13 1551
6 7 41963
6 14 1400
7 15 94487
8 9 73
8 10 2
8 12 684
9 11 2
9 13 80
10 11 5
11 15 85104
12 13 16931
12 14 26447
13 15 18562
14 15 27847
