from to weight
0 1 101234
0 2 95637
0 4 102331
0 8 111638
0 16 160
1 3 53017
1 5 1188
1 9 46258
1 17 771
2 3 48918
2 6 44345
2 10 1897
2 18 477
3 7 13192
3 11 20545
3 19 68198
4 5 48073
4 6 11169
4 12 40369
4 20 2720
5 7 8066
5 13 21428
5 21 19767
6 7 38681
6 14 1133
6 22 15700
7 15 322
7 23 59617
8 9 3499
8 10 55722
8 12 51236
8 24 1181
9 11 40186
9 13 751
9 25 8820
10 11 3574
10 14 45519
10 26 8526
11 15 678
11 27 63627
12 13 4686
12 14 18285
12 28 68634
13 15 667
13 29 26198
14 15 569
14 30 64368
15 31 2236
16 17 68
16 18 5
16 20 42
16 24 45
17 19 123
17 21 19
17 25 697
18 19 253
18 22 221
18 26 8
19 23 29269
19 27 39305
20 21 1518
20 22 59
20 28 1185
21 23 1092
21 29 20212
22 23 15526
22 30 454
23 31 105504
24 25 74
24 26 125
24 28 1027
25 27 8336
25 29 1255
26 27 617
26 30 8042
27 31 111885
28 29 45905
28 30 24941
29 31 93570
30 31 97805
