,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,44954,0.1729,0.24974444444444444
1,WT,B,45044,0.17324615384615386,0.25024444444444444
2,WT,C,44977,0.17298846153846154,0.24987222222222222
3,WT,D,45016,0.17313846153846155,0.2500888888888889
4,WT,E,9,3.461538461538462e-05,5e-05
5,A,AB,14953,0.05751153846153846,0.9999331282599974
6,A,AE,1,3.846153846153846e-06,6.687174000267486e-05
7,B,AB,15037,0.05783461538461539,0.9995346982185589
8,B,BE,7,2.6923076923076923e-05,0.0004653017814411061
9,AB,ABE,9990,0.03842307692307692,1.0
10,C,CD,14968,0.05756923076923077,0.999399078587167
11,C,CE,9,3.461538461538462e-05,0.0006009214128330106
12,D,CD,15016,0.057753846153846156,1.0
13,CD,CDE,9984,0.0384,1.0
14,E,BE,2,7.692307692307692e-06,0.2222222222222222
15,E,CE,4,1.5384615384615384e-05,0.4444444444444444
16,E,DE,3,1.1538461538461538e-05,0.3333333333333333
17,AE,ABE,1,3.846153846153846e-06,1.0
18,BE,ABE,9,3.461538461538462e-05,1.0
19,CE,CDE,13,5e-05,1.0
20,DE,CDE,3,1.1538461538461538e-05,1.0
