from to weight
0 1 67907
0 2 67602
0 4 89078
0 8 413
1 3 22382
1 5 15519
1 9 6
2 3 28925
2 6 8676
2 10 1
3 7 3881
3 11 27426
4 5 11701
4 6 18876
4 12 28501
5 7 7066
5 13 154
6 7 7420
6 14 132
7 15 8367
8 9 110
8 10 12
8 12 291
9 11 111
9 13 5
10 11 13
11 15 7550
12 13 1490
12 14 2302
13 15 1649
14 15 2434
