,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,81998,0.2277722222222222,0.49695757575757576
1,WT,B,54,0.00015,0.00032727272727272726
2,WT,C,82812,0.23003333333333334,0.501890909090909
3,WT,D,87,0.00024166666666666667,0.0005272727272727272
4,WT,E,49,0.0001361111111111111,0.00029696969696969697
5,A,AB,42160,0.11711111111111111,0.8108004154005923
6,A,AC,7830,0.02175,0.15058271471979692
7,A,AD,281,0.0007805555555555556,0.005404054002077003
8,A,AE,1727,0.004797222222222222,0.033212815877533754
9,B,AB,45,0.000125,0.8333333333333334
10,B,BC,9,2.5e-05,0.16666666666666666
11,AB,ABC,9806,0.02723888888888889,0.44161224949335737
12,AB,ABD,5,1.388888888888889e-05,0.00022517451024544022
13,AB,ABE,12394,0.03442777777777778,0.5581625759963972
14,C,AC,6173,0.017147222222222223,0.11688631371657957
15,C,BC,170,0.00047222222222222224,0.003218965386654548
16,C,CD,42634,0.11842777777777778,0.8072786487919412
17,C,CE,3835,0.010652777777777778,0.07261607210482467
18,AC,ABC,5816,0.016155555555555555,0.41533957009212313
19,AC,ACD,7706,0.021405555555555556,0.550310647718346
20,AC,ACE,481,0.001336111111111111,0.03434978218953082
21,BC,ABC,164,0.00045555555555555556,0.9162011173184358
22,BC,BCE,15,4.1666666666666665e-05,0.08379888268156424
23,ABC,ABCD,2406,0.006683333333333334,0.4158313169720014
24,ABC,ABCE,3380,0.00938888888888889,0.5841686830279986
25,D,AD,5,1.388888888888889e-05,0.05747126436781609
26,D,CD,82,0.00022777777777777778,0.9425287356321839
27,AD,ACD,285,0.0007916666666666666,0.9965034965034965
28,AD,ADE,1,2.777777777777778e-06,0.0034965034965034965
29,ABD,ABCD,5,1.388888888888889e-05,1.0
30,CD,ACD,10179,0.028275,0.4480982567353407
31,CD,BCD,2,5.555555555555556e-06,8.804366966015144e-05
32,CD,CDE,12535,0.034819444444444445,0.5518136995949992
33,ACD,ABCD,2587,0.007186111111111111,0.31664626682986535
34,ACD,ACDE,5583,0.015508333333333334,0.6833537331701346
35,BCD,ABCD,2,5.555555555555556e-06,1.0
36,E,AE,20,5.555555555555556e-05,0.40816326530612246
37,E,CE,29,8.055555555555556e-05,0.5918367346938775
38,AE,ABE,21,5.833333333333333e-05,0.012020606754436176
39,AE,ACE,1691,0.004697222222222222,0.9679450486548369
40,AE,ADE,35,9.722222222222222e-05,0.02003434459072696
41,ABE,ABCE,2415,0.0067083333333333335,1.0
42,CE,ACE,3574,0.009927777777777778,0.9249482401656315
43,CE,BCE,256,0.0007111111111111111,0.06625258799171843
44,CE,CDE,34,9.444444444444444e-05,0.008799171842650104
45,ACE,ABCE,3934,0.010927777777777778,0.6846501914375217
46,ACE,ACDE,1812,0.005033333333333333,0.31534980856247824
47,BCE,ABCE,271,0.0007527777777777778,1.0
48,ADE,ACDE,36,0.0001,1.0
49,CDE,ACDE,2569,0.007136111111111111,1.0
